Species abbr. (full name)	Tribe	Sex	ID	Depth	CDS unique ID	CDS tip label	AA unique ID	CDS reads depth after mapping to the ref. genome (mean|median)	Genome wide reads depth after mapping to the ref. genome (mean|median)	Ratio of CDS and genome wide reads depth (mean|median)
Cypmic (Cyprichromis microlepidotus)	Cyprichromini	F	JVF2	NA	haplo28	Cypmic_2_B	haplo22	8.39|8	9.79|8	0.86|1
Cyppav (Cyprichromis pavo)	Cyprichromini	M	JEB2	inter.	haplo29	Cyppav_2	haplo25	10.4|10	13.24|11	0.79|0.91
Cyppav (Cyprichromis pavo)	Cyprichromini	F	JEB4	inter.	haplo29	Cyppav_2	haplo25	10.75|10	11.33|9	0.95|1.11
Cypzon (Cyprichromis zonatus)	Cyprichromini	M	GPC9	NA	haplo30	Cypzon_2	haplo26	10.16|10	14.18|13	0.72|0.77
Cypzon (Cyprichromis zonatus)	Cyprichromini	F	GPD1	NA	haplo30	Cypzon_2	haplo26	7.43|8	9.25|8	0.8|1
Pcybri (Paracyprichromis sp. “brieni south”)	Cyprichromini	M	IQB9	inter.	haplo32	Pcybri_2	haplo82	12.63|12	12.41|10	1.02|1.2
Pcybri (Paracyprichromis sp. “brieni south”)	Cyprichromini	F	IQC1	inter.	haplo32	Pcybri_2	haplo28	7.48|7	8.96|7	0.84|1
PcybrN (Paracyprichromis brieni)	Cyprichromini	M	JXI2	inter.	haplo31	PcybrN_2	haplo27	8.86|9	10.57|9	0.84|1
PcybrN (Paracyprichromis brieni)	Cyprichromini	F	JXI4	inter.	haplo31	PcybrN_2	haplo27	8.36|8	9.05|7	0.92|1.14
Pcynig (Paracyprichromis nigripinnis)	Cyprichromini	M	GPC4	inter.	haplo33	Pcynig_2	haplo29	14.53|14	19.27|17	0.38|0.41
Pcynig (Paracyprichromis nigripinnis)	Cyprichromini	F	GPC6	inter.	haplo33	Pcynig_2	haplo29	7.18|7	9.74|8	0.74|0.88
Pcytem (Paracyprichromis sp. “tembwe”)	Cyprichromini	M	JWD1	inter.	haplo34	Pcytem_2_A	haplo29	19.03|19	24.67|22	0.39|0.43
Pcytem (Paracyprichromis sp. “tembwe”)	Cyprichromini	F	JWD2	inter.	haplo35	Pcytem_2_B	haplo29	24.99|26	23.91|21	0.52|0.62
Asplep (Asprotilapia leptura)	Ectodini	F	INF1	inter.	haplo36	Asplep_2	haplo30	14.01|14	15.5|13	0.45|0.54
Asplep (Asprotilapia leptura)	Ectodini	M	INF2	inter.	haplo36	Asplep_2	haplo30	22.29|22	22.55|19	0.49|0.58
Auldew (Aulonocranus dewindti)	Ectodini	F	AUA1	shallow	haplo37	Auldew_2	haplo31	10.35|10	12.16|10	0.85|1
Auldew (Aulonocranus dewindti)	Ectodini	F	AUA9	shallow	haplo37	Auldew_2	haplo31	10.64|11	11.93|10	0.89|1.1
Calmac (Callochromis macrops)	Ectodini	M	BND3	shallow	haplo38	Calmac_2	haplo32	12.31|12	11.93|10	1.03|1.2
Calmac (Callochromis macrops)	Ectodini	F	BND5	shallow	haplo38	Calmac_2	haplo32	13.61|13	12.96|11	1.05|1.18
Calmel (Callochromis melanostigma)	Ectodini	M	KAF3	shallow	haplo39	Calmel_2	haplo33	9.65|10	11.57|10	0.83|1
Calmel (Callochromis melanostigma)	Ectodini	F	KAF4	shallow	haplo39	Calmel_2	haplo33	9.75|9	11.67|10	0.84|0.9
Calple (Callochromis pleurospilus)	Ectodini	M	JZE2	shallow	haplo40	Calple_2	haplo34	10.59|10	12.23|10	0.87|1
Calple (Callochromis pleurospilus)	Ectodini	F	JZE4	shallow	haplo40	Calple_2	haplo34	24.67|25	22.75|20	0.54|0.62
Carsch (Cardiopharynx schoutedeni)	Ectodini	M	KAF1	shallow	haplo41	Carsch_2	haplo35	9.38|10	11.3|9	0.83|1.11
Carsch (Cardiopharynx schoutedeni)	Ectodini	F	KAF2	shallow	haplo41	Carsch_2	haplo35	18.73|19	19.25|17	0.49|0.56
Cunlon (Cunningtonia longiventralis)	Ectodini	M	IWD7	shallow	haplo41	Cunlon_2	haplo35	9.75|9	10.01|8	0.97|1.12
Cunlon (Cunningtonia longiventralis)	Ectodini	F	IWD8	shallow	haplo41	Cunlon_2	haplo35	11.94|12	11.9|10	1|1.2
Cyafoa (Cyathopharynx foae)	Ectodini	F	IOD4	inter.	haplo42	Cyafoa_2_A	haplo35	8.52|9	10.37|9	0.82|1
Cyafoa (Cyathopharynx foae)	Ectodini	M	IOD6	inter.	haplo43	Cyafoa_2_B	haplo35	7.46|7	8.79|7	0.85|1
Cyafur (Cyathopharynx furcifer)	Ectodini	M	AVH2	shallow	haplo43	Cyafur_2	haplo35	9.97|10	12.36|10	0.81|1
Cyafur (Cyathopharynx furcifer)	Ectodini	F	AYE5	shallow	haplo43	Cyafur_2	haplo35	10.53|10	12.54|11	0.84|0.91
Ectdes (Ectodus descampsii)	Ectodini	M	IRD7	inter.	haplo44	Ectdes_2	haplo36	9.73|10	14.81|13	0.66|0.77
Ectdes (Ectodus descampsii)	Ectodini	F	IRD8	inter.	haplo44	Ectdes_2	haplo36	8.53|9	10.26|9	0.83|1
EctspN (Ectodus sp. “north”)	Ectodini	M	KHC4	inter.	haplo45	EctspN_2_A	haplo37	7.12|8	10.17|9	0.7|0.89
EctspN (Ectodus sp. “north”)	Ectodini	F	KHC5	inter.	haplo46	EctspN_2_B	haplo37	10.48|10	9.93|8	1.05|1.25
Enamel (Enantiopus melanogenys)	Ectodini	M	AWC5	inter.	haplo47	Enamel_2	haplo38	12.69|12	12.73|11	1|1.09
Enamel (Enantiopus melanogenys)	Ectodini	F	BNC5	inter.	haplo47	Enamel_2	haplo38	11.16|11	13.92|12	0.8|0.92
Gralem (Grammatotria lemairii)	Ectodini	M	JDD7	inter.	haplo48	Gralem_2	haplo39	14.87|16	19.05|17	0.78|0.94
Gralem (Grammatotria lemairii)	Ectodini	F	JDD8	inter.	haplo48	Gralem_2	haplo39	7.75|7	10.4|9	0.74|0.78
Lesper (Lestradea perspicax)	Ectodini	M	IRA1	inter.	haplo49	Lesper_2_B	haplo35	6.79|7	9.1|8	0.75|0.88
Lesper (Lestradea perspicax)	Ectodini	F	IRA2	inter.	haplo41	Lesper_2_A	haplo35	10.99|10	12.43|11	0.88|0.91
Lessta (Lestradea stappersii)	Ectodini	F	JVH2	NA	haplo41	Lessta_2_A	haplo35	9.86|11	10.43|9	0.95|1.22
Lessta (Lestradea stappersii)	Ectodini	M	JVH3	NA	haplo50	Lessta_2_B	haplo40	5.45|5	8.5|7	0.64|0.71
Mdcrot (Microdontochromis rotundiventralis)	Ectodini	M	JBE6	NA	haplo51	Mdcrot_2	haplo41	13.46|13	11.45|10	1.18|1.3
Mdcrot (Microdontochromis rotundiventralis)	Ectodini	F	JBE7	NA	haplo51	Mdcrot_2	haplo41	15.88|15	18.78|17	0.42|0.44
Mdcten (Microdontochromis tenuidentata)	Ectodini	M	LHG4	inter.	haplo52	Mdcten_2_A	haplo42	13.62|14	15.16|13	0.45|0.54
Mdcten (Microdontochromis tenuidentata)	Ectodini	F	LHG6	inter.	haplo53	Mdcten_2_B	haplo43	12.87|13	17.42|15	0.37|0.43
Ophboo (Ophthalmotilapia boops)	Ectodini	M	LFI4	inter.	haplo54	Ophboo_2	haplo35	8.24|8	11.75|10	0.7|0.8
Ophboo (Ophthalmotilapia boops)	Ectodini	F	LFI6	inter.	haplo54	Ophboo_2	haplo35	9.25|9	11.43|9	0.81|1
Ophhet (Ophthalmotilapia heterodonta)	Ectodini	M	Bel06	NA	haplo55	Ophhet_2	haplo35	8.46|8	10.18|8	0.83|1
Ophhet (Ophthalmotilapia heterodonta)	Ectodini	M	Bel12	NA	haplo55	Ophhet_2	haplo35	7.46|7	11.15|9	0.67|0.78
Ophnas (Ophthalmotilapia nasuta)	Ectodini	M	AXH6	inter.	haplo43	Ophnas_2	haplo35	8.51|8	12.38|10	0.69|0.8
Ophnas (Ophthalmotilapia nasuta)	Ectodini	F	AXH8	inter.	haplo43	Ophnas_2	haplo35	11.52|11	12.87|11	0.9|1
Ophpar (Ophthalmotilapia sp. “paranasuta”)	Ectodini	M	JYF7	shallow	haplo43	Ophpar_2	haplo35	14.69|15	15.06|13	0.98|1.15
Ophpar (Ophthalmotilapia sp. “paranasuta”)	Ectodini	F	JYG5	shallow	haplo43	Ophpar_2	haplo35	10.19|10	12.15|10	0.84|1
Ophven (Ophthalmotilapia ventralis)	Ectodini	M	IQD3	shallow	haplo55	Ophven_2	haplo35	8.1|8	11.8|10	0.69|0.8
Ophven (Ophthalmotilapia ventralis)	Ectodini	F	IQE4	shallow	haplo55	Ophven_2	haplo35	6.83|6	10.83|9	0.63|0.67
Ophwhi (Ophthalmotilapia sp. “white cap”)	Ectodini	M	LGH1	shallow	haplo55	Ophwhi_2	haplo35	10.74|10	12.74|11	0.84|0.91
Ophwhi (Ophthalmotilapia sp. “white cap”)	Ectodini	F	LGH3	shallow	haplo55	Ophwhi_2	haplo35	9.04|9	11.62|10	0.78|0.9
Xenbat (Xenotilapia bathyphilus)	Ectodini	M	IVB4	inter.	haplo56	Xenbat_2	haplo44	11.5|11	13.84|12	0.83|0.92
Xenbat (Xenotilapia bathyphilus)	Ectodini	F	IVB5	inter.	haplo56	Xenbat_2	haplo44	7.74|8	11.02|9	0.7|0.89
Xenbou (Xenotilapia boulengeri)	Ectodini	M	IPE3	inter.	haplo57	Xenbou_2	haplo45	8.87|10	12.05|9	0.74|1.11
Xenbou (Xenotilapia boulengeri)	Ectodini	F	IPE7	inter.	haplo57	Xenbou_2	haplo45	8.78|9	11.6|9	0.76|1
Xencau (Xenotilapia caudafasciata)	Ectodini	M	IXB9	deep	haplo58	Xencau_2	haplo46	11.34|12	11.76|10	0.96|1.2
Xencau (Xenotilapia caudafasciata)	Ectodini	F	IXC1	deep	haplo58	Xencau_2	haplo46	8.28|8	10.91|9	0.76|0.89
Xenfla (Xenotilapia flavipinnis)	Ectodini	M	JAF7	shallow	haplo59	Xenfla_2_A	haplo47	23.65|24	22.85|20	0.52|0.6
Xenfla (Xenotilapia flavipinnis)	Ectodini	F	JAF9	shallow	haplo60	Xenfla_2_B	haplo48	17.79|17	20.34|18	0.44|0.47
Xenkil (Xenotilapia sp. “kilesa”)	Ectodini	M	Bel01	NA	haplo61	Xenkil_2_A	haplo49	14.79|13	16.11|14	0.46|0.46
Xenkil (Xenotilapia sp. “kilesa”)	Ectodini	M	Bel03	NA	haplo62	Xenkil_2_B	haplo49	9.75|10	9.42|8	1.03|1.25
Xenlon (Xenotilapia longispinis)	Ectodini	M	KAF5	NA	haplo63	Xenlon_2	haplo50	13.49|13	13.33|11	1.01|1.18
Xenlon (Xenotilapia longispinis)	Ectodini	F	KAF6	NA	haplo63	Xenlon_2	haplo50	10.55|11	14.57|12	0.36|0.46
Xennas (Xenotilapia nasus)	Ectodini	M	IMF7	deep	haplo64	Xennas_2	haplo51	8.74|8	10.45|9	0.84|0.89
Xennas (Xenotilapia nasus)	Ectodini	F	IMF8	deep	haplo64	Xennas_2	haplo51	17.42|17	16.96|14	1.03|1.21
XenniS (Xenotilapia nigrolabiata)	Ectodini	F	IXF4	deep	haplo65	XenniS_2_A	haplo52	21.84|21	21.26|19	0.51|0.55
XenniS (Xenotilapia nigrolabiata)	Ectodini	M	IZC7	deep	haplo66	XenniS_2_B	haplo53	6.24|6	11.26|9	0.55|0.67
Xenoch (Xenotilapia ochrogenys)	Ectodini	M	JVH4	inter.	haplo67	Xenoch_2	haplo54	13.3|14	14.38|12	0.92|1.17
Xenoch (Xenotilapia ochrogenys)	Ectodini	F	JVI5	inter.	haplo67	Xenoch_2	haplo54	16.45|16	16.88|14	0.49|0.57
Xenorn (Xenotilapia ornatipinnis)	Ectodini	M	JZE6	deep	haplo63	Xenorn_2	haplo50	8.72|8	12.86|11	0.68|0.73
Xenorn (Xenotilapia ornatipinnis)	Ectodini	F	JZE8	deep	haplo63	Xenorn_2	haplo50	8.62|9	11.97|10	0.72|0.9
XenpaK (Xenotilapia papilio)	Ectodini	F	A206	inter.	haplo68	XenpaK_1	haplo55	16.95|17	15.6|12	0.54|0.71
Xenpap (Xenotilapia papilio (Katete))	Ectodini	M	IVF4	inter.	haplo68	Xenpap_2	haplo55	17.41|18	17.26|14	0.5|0.64
Xenpap (Xenotilapia papilio (Katete))	Ectodini	F	IVF5	inter.	haplo68	Xenpap_2	haplo55	8.29|9	10.25|8	0.81|1.12
Xensim (Xenotilapia sima)	Ectodini	M	IUF7	deep	haplo69	Xensim_4	haplo39	9.4|9	13.3|11	0.71|0.82
Xensim (Xenotilapia sima)	Ectodini	F	IUF8	deep	haplo69	Xensim_4	haplo39	11.01|11	13.8|11	0.8|1
Xensim (Xenotilapia sima)	Ectodini	M	LBE2	deep	haplo69	Xensim_4	haplo39	10.37|10	13.76|11	0.75|0.91
Xensim (Xenotilapia sima)	Ectodini	F	LBE9	deep	haplo69	Xensim_4	haplo39	8.91|9	10.74|8	0.83|1.12
Xensin (Xenotilapia singularis)	Ectodini	M	IRD9	inter.	haplo67	Xensin_2	haplo54	9.28|9	11.46|10	0.81|0.9
Xensin (Xenotilapia singularis)	Ectodini	F	IRE3	inter.	haplo67	Xensin_2	haplo54	8.83|8	10.88|9	0.81|0.89
Xenspi (Xenotilapia spilopterus)	Ectodini	M	AXB5	inter.	haplo72	Xenspi_2	haplo45	9.02|9	12.27|10	0.73|0.9
Xenspi (Xenotilapia spilopterus)	Ectodini	F	AXB8	inter.	haplo72	Xenspi_2	haplo45	13.74|14	12.26|10	1.12|1.4
XenspN (Xenotilapia sp. “spilopterus north”)	Ectodini	M	LEA3	inter.	haplo70	XenspN_2_A	haplo45	7.45|7	10.51|9	0.71|0.78
XenspN (Xenotilapia sp. “spilopterus north”)	Ectodini	F	LEA4	inter.	haplo71	XenspN_2_B	haplo45	9.25|9	10.23|8	0.9|1.12
Xensun (Xenotilapia sp. “papilio sunflower”)	Ectodini	M	GPF8	inter.	haplo73	Xensun_2_A	haplo55	8.21|8	11.22|9	0.73|0.89
Xensun (Xenotilapia sp. “papilio sunflower”)	Ectodini	F	GPF9	inter.	haplo74	Xensun_2_B	haplo55	10.65|10	12.5|10	0.85|1
Erecya (Eretmodus cyanostictus)	Eretmodini	M	IZH7	shallow	haplo75	Erecya_2	haplo56	27.8|26	27.89|25	0.5|0.52
Erecya (Eretmodus cyanostictus)	Eretmodini	F	IZI3	shallow	haplo75	Erecya_2	haplo56	17.04|17	17.69|16	0.48|0.53
Eremar (Eretmodus marksmithi)	Eretmodini	M	JXE9	shallow	haplo76	Eremar_2	haplo57	12.12|11	14.93|13	0.41|0.42
Eremar (Eretmodus marksmithi)	Eretmodini	F	JXF4	shallow	haplo76	Eremar_2	haplo57	7.96|8	9.44|8	0.84|1
Spaery (Spathodus erythrodon)	Eretmodini	M	JUB6	shallow	haplo77	Spaery_2	haplo58	11.77|11	10.56|9	1.11|1.22
Spaery (Spathodus erythrodon)	Eretmodini	F	JUB7	shallow	haplo77	Spaery_2	haplo58	11.3|11	12.48|11	0.91|1
Spamar (Spathodus marlieri)	Eretmodini	M	JZB7	shallow	haplo77	Spamar_2	haplo58	6.91|7	9.11|8	0.76|0.88
Spamar (Spathodus marlieri)	Eretmodini	F	JZD3	shallow	haplo77	Spamar_2	haplo58	13.74|14	15.02|13	0.46|0.54
Tanirs (Tanganicodus irsacae)	Eretmodini	M	JYH3	shallow	haplo78	Tanirs_2	haplo57	16.55|15	14.7|12	1.13|1.25
Tanirs (Tanganicodus irsacae)	Eretmodini	F	JYH7	shallow	haplo78	Tanirs_2	haplo57	9.2|9	10.8|9	0.85|1
Gobeth (Gobiocichla ethelwynnae)*	Gobiocichlini	M	JWE7 (no genome draft assembly)	NA	haplo79	Gobeth_1	haplo59	16.58|17	20.48|18	0.4|0.47
Tilbre (Tilapia brevimanus)*	Gobiocichlini	F	JWF9	NA	haplo80	Tilbre_1	haplo60	23.98|23	19.54|18	0.61|0.64
Arcstr (Astatoreochromis straeleni)*	Haplochromini	M	KAE8	NA	haplo81	Arcstr_1	haplo61	7.59|8	10.91|9	0.7|0.89
Astbur (Astatotilapia burtoni)*	Haplochromini	M	IZA1	shallow	haplo82	Astbur_3_AB	haplo62	8.26|8	11.45|10	0.72|0.8
Astbur (Astatotilapia burtoni)*	Haplochromini	F	IZC5 (no genome draft assembly)	shallow	haplo82	Astbur_3_AB	haplo62	24.92|25	22.27|20	0.56|0.62
Astbur (Astatotilapia burtoni)*	Haplochromini	F	JYD5	shallow	haplo83	Astbur_3_C	haplo62	4.9|5	7.45|6	0.66|0.83
Astfla (Astatotilapia flaviijosephi)*	Haplochromini	M	LJD2	NA	haplo84	Astfla_1	haplo63	9.06|9	8.25|7	1.1|1.29
Astpal (Astatotilapia paludinosa)*	Haplochromini	M	KYG1	NA	haplo85	Astpal_1	haplo62	7.93|8	9.14|7	0.87|1.14
Ctepol (Ctenochromis polli)*	Haplochromini	M	JWG2 (no genome draft assembly)	NA	haplo86	Ctepol_1	haplo64	18.5|19	21.51|18	0.43|0.53
Hplkil (Haplochromis sp. “kilossana”)*	Haplochromini	M	LJE8 (no genome draft assembly)	NA	haplo87	Hplkil_1	haplo65	27.7|27	28.5|25	0.49|0.54
HplspC (Haplochromis sp. “chipwa”)*	Haplochromini	M	HXC4	shallow	haplo82	HplspC_2	haplo62	7.83|7	9.33|8	0.84|0.88
HplspC (Haplochromis sp. “chipwa”)*	Haplochromini	F	HXC5	shallow	haplo82	HplspC_2	haplo62	9.05|9	13.36|11	0.68|0.82
Hplsta (Haplochromis stappersii)*	Haplochromini	M	JYD3	shallow	haplo88	Hplsta_1	haplo66	17.3|16	17.36|15	0.5|0.53
Hplvan (Haplochromis vanheusdeni)*	Haplochromini	M	JWG3	NA	haplo87	Hplvan_1	haplo65	9.91|10	10.86|8	0.91|1.25
Ortcho (Orthochromis indermauri)*	Haplochromini	F	HXC6	NA	haplo89	Ortcho_2	haplo67	19.03|19	22.58|20	0.42|0.48
Ortcho (Orthochromis indermauri)*	Haplochromini	M	HXC7	NA	haplo89	Ortcho_2	haplo67	7.09|7	9.25|8	0.77|0.88
Ortmaz (Orthochromis mazimeroensis)*	Haplochromini	M	KDC6	NA	haplo90	Ortmaz_1	haplo68	7.8|8	10.38|8	0.75|1
Ortred (Orthochromis malagaraziensis)*	Haplochromini	M	KYE2	NA	haplo90	Ortred_1	haplo68	11.18|11	10.24|8	1.09|1.38
Ortuvi (Orthochromis uvinzae)*	Haplochromini	M	KYE7	NA	haplo91	Ortuvi_1	haplo68	8.01|8	9.87|8	0.81|1
Psephi (Pseudocrenilabrus philander)*	Haplochromini	M	JWG1 (no genome draft assembly)	NA	haplo92	Psephi_1	haplo69	22.15|22	24.67|22	0.45|0.5
Thobra (Thoracochromis brauschi)*	Haplochromini	M	JWF8	NA	haplo93	Thobra_1	haplo69	18.86|19	21.84|19	0.43|0.5
Hetbut (Heterotilapia buettikoferi)*	Heterotilapini		JWE3	NA	haplo94	Hetbut_1	haplo70	10.83|11	10.14|9	1.07|1.22
Altcal (Altolamprologus calvus)	Lamprologini	M	IOE2	inter.	haplo95	Altcal_2_A	haplo71	10.14|10	11.83|10	0.86|1
Altcal (Altolamprologus calvus)	Lamprologini	F	IOE3	inter.	haplo96	Altcal_2_B	haplo72	10.46|11	14.13|12	0.74|0.92
Altcom (Altolamprologus compressiceps)	Lamprologini	M	ISB1	inter.	haplo97	Altcom_2	haplo71	9.65|10	12.44|11	0.78|0.91
Altcom (Altolamprologus compressiceps)	Lamprologini	F	ISC9	inter.	haplo97	Altcom_2	haplo71	13.49|14	14.01|12	0.96|1.17
Altfas (Neolamprologus fasciatus)	Lamprologini	M	AUE7	shallow	haplo98	Altfas_2	haplo73	14.2|14	15|13	0.95|1.08
Altfas (Neolamprologus fasciatus)	Lamprologini	F	AXD5	shallow	haplo98	Altfas_2	haplo73	7.93|7	11.96|11	0.66|0.64
Altshe (Altolamprologus sp. “compressiceps shell”)	Lamprologini	M	IRH2	NA	haplo95	Altshe_2	haplo71	6.56|7	8.7|7	0.75|1
Altshe (Altolamprologus sp. “compressiceps shell”)	Lamprologini	F	IRH4	NA	haplo95	Altshe_2	haplo71	8.3|8	9.08|7	0.91|1.14
Chabif (Chalinochromis sp. “bifrenatus”)	Lamprologini	F	LDD9	inter.	haplo99	Chabif_2	haplo74	10.1|10	11.08|10	0.91|1
Chabif (Chalinochromis sp. “bifrenatus”)	Lamprologini	M	LDE1	inter.	haplo99	Chabif_2	haplo74	10.76|11	11.14|10	0.97|1.1
